project_or_paper	scope	kind	source_path	mtime_local	bytes	sha256	package_path	materialized_from
05_科研台_学习台_工作台支撑	九月新增或相关产出	任务日志	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-18__research__two-desks-plugin-mechanism-deep-scan.md	2026-09-18 07:46:17.508209900 -0700	10409	51aca09f255c43a59a9e46b28071b3a5abadb2b264ca5dbb1797ac313a2705a8	05_科研台_学习台_工作台支撑/任务日志/2026/09/2026-09-18__research__two-desks-plugin-mechanism-deep-scan.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	任务日志	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/INDEX.md	2026-09-18 07:43:51.163054800 -0700	150687	a35479b654acc40f1606a5a047b11094ecc059e94ce3e78032ec76977e1d10fa	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/任务日志/INDEX.md	current_source
05_科研台_学习台_工作台支撑	九月新增或相关产出	计划或决策	/mnt/d/MyResearch/MAS_Safety_Project/progress/decisions/two-desks-delta-20260914/REFERENCE_NOTES_20260915.md	2026-09-18 07:41:58.363642100 -0700	64278	c16ed85be78d68c714e3df3c5c915da78365eb37df0c23ad08ffb5f6a71789d9	05_科研台_学习台_工作台支撑/计划与决策/two-desks-delta-20260914/REFERENCE_NOTES_20260915.md	current_source
05_科研台_学习台_工作台支撑	九月新增或相关产出	任务日志	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-18__archive__workbench-research-desk-plugin-reference-batch.md	2026-09-18 06:35:35.348508400 -0700	8256	6f17743094cab4fb15c4a4d7841e894abddff4223164d14d5306df676b1580c7	05_科研台_学习台_工作台支撑/任务日志/2026/09/2026-09-18__archive__workbench-research-desk-plugin-reference-batch.md	current_source
01_进组总计划_OE1_材料交付	九月新增或相关产出	任务日志	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-17__archive__all-progress-and-group-entry-packages.md	2026-09-17 08:02:17.688809100 -0700	3465	f6809ed442344e74585a3941b150f053b3ed105428a9cf3998c4a9724e89489e	01_进组总计划_OE1_材料交付/任务日志/2026/09/2026-09-17__archive__all-progress-and-group-entry-packages.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	交接与恢复	/mnt/d/MyResearch/MAS_Safety_Project/progress/handoff/INDEX.md	2026-09-17 08:01:31.048900100 -0700	54883	a8eeab387f15d6a83107113a7835f762c0a7517869efafc6068c58456fab9fe7	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/交接与恢复/INDEX.md	current_source
01_进组总计划_OE1_材料交付	九月新增或相关产出	交接与恢复	/mnt/d/MyResearch/MAS_Safety_Project/progress/handoff/2026-09-17__all-progress-and-group-entry-packages__handoff.md	2026-09-17 08:00:33.477539000 -0700	15892	ecca148dcc48a20df20545694f57f9a22e6dce8f04290808f7b7f3e6ca91414f	01_进组总计划_OE1_材料交付/交接与恢复/2026-09-17__all-progress-and-group-entry-packages__handoff.md	current_source
01_进组总计划_OE1_材料交付	九月新增或相关产出	任务日志	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-17__learning__group-entry-package-import.md	2026-09-17 07:47:49.162697500 -0700	5389	29e02dcd4bee23e70207029f8a9a1ef29bf2fd0cee8e9b5306cd8cb428580e96	01_进组总计划_OE1_材料交付/任务日志/2026/09/2026-09-17__learning__group-entry-package-import.md	current_source
05_科研台_学习台_工作台支撑	九月新增或相关产出	任务日志	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-17__engineering__two-desks-base-trial.md	2026-09-17 06:57:19.859598200 -0700	7371	911951412e610ec27c4c3f0880380b87bc377e92c409fc78c8e9f376859b59d2	05_科研台_学习台_工作台支撑/任务日志/2026/09/2026-09-17__engineering__two-desks-base-trial.md	current_source
05_科研台_学习台_工作台支撑	九月新增或相关产出	计划或决策	/mnt/d/MyResearch/MAS_Safety_Project/progress/decisions/2026-09-17__research__two-desks-purpose-redefinition-proposal.md	2026-09-17 06:51:39.890539200 -0700	19720	550f34596ccf56b256aab01f99134ee2ea60fa3343cd3fd7b4952effd7ec9365	05_科研台_学习台_工作台支撑/计划与决策/2026-09-17__research__two-desks-purpose-redefinition-proposal.md	current_source
